label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
pedestrian,0b8e35c3-52b0-4e94-b073-f01aa131bab7,dynamic,4.99027,-6.30112,-0.645526,0.933,1.237,1.945,0.12379,8.0637,1.5708,-0.901
pedestrian,0bb5f2d2-e2e4-466a-a3c4-11733e66b72d,dynamic,4.55026,-13.2709,-0.616256,0.727,1.145,1.863,-3.00523,14.0428,1.5708,-1.2405
bus,0d13663c-cc0f-411e-b49e-17f5cf83f12c,dynamic,-1.40414,-27.5956,0.0236768,3.219,13.687,3.474,0.127694,27.6313,1.5708,-1.6216
car,23c85012-aa30-4b53-ab5c-25c5579e2adc,dynamic,-38.0248,-20.2973,-1.03923,1.932,3.913,1.835,0.114367,43.1155,1.5708,-2.6513
car,271611b5-6989-4d88-8aa0-9f3220aa9067,dynamic,-12.3385,-34.1919,-0.631788,1.969,4.7,1.72,-3.04504,36.3555,1.5708,-1.9171
car,2e2a9c43-c578-47b4-be51-6c6f067ebab7,dynamic,28.8941,-17.3434,-0.207801,2.253,4.371,1.737,-2.99667,33.7002,1.5708,-0.5406
car,310b2832-91f3-418a-ab4b-2262574a48f1,dynamic,3.78047,-31.9326,-0.214209,2.329,5.644,2.305,0.0724621,32.1563,1.5708,-1.453
car,3c40c426-9bd7-417b-8289-209ad1043884,dynamic,33.6346,-8.46682,-0.57879,1.934,4.831,1.513,-1.44289,34.6887,1.5708,-0.2466
truck,43249cb5-71b6-4efc-9f7e-4385268c085d,dynamic,23.4699,-16.8689,-0.170011,2.471,5.883,2.275,0.0750831,28.9037,1.5708,-0.6232
pedestrian,4851336a-140f-4575-9d51-714e59086b8b,dynamic,2.99939,-14.2617,-0.778376,0.735,1.015,1.543,-3.00523,14.5945,1.5708,-1.3635
pedestrian,4e0c8009-0a87-4ec4-bc7d-e6f90578be1e,dynamic,-20.0321,-10.6144,-1.28811,0.813,0.709,1.725,-1.30418,22.707,1.5708,-2.6543
car,4e11a50f-3579-413f-8385-cebcbea8748b,dynamic,38.3044,-3.51986,-0.554924,2.034,5.437,1.667,-1.57584,38.4698,1.5708,-0.0916
truck,60e08357-e2d2-493f-95c5-71a844770111,dynamic,-26.734,-20.3632,-0.971567,2.169,6.13,2.128,0.0792745,33.6201,1.5708,-2.4906
pedestrian,68c40ca3-988b-4565-83af-5af9bd0c6c90,dynamic,5.12501,-21.9068,-0.38919,0.83,1.072,1.812,-3.09846,22.5017,1.5708,-1.341
pedestrian,715063d2-9bac-4da4-8ae0-ddeb1c80cbfd,dynamic,6.07264,-17.4746,-0.374553,0.771,1.077,2.014,0.136365,18.5035,1.5708,-1.2363
truck,9f44f6a3-07fa-4547-b670-86d7f359a27e,dynamic,26.2843,-16.8429,-0.29079,2.131,4.957,2.0,0.127462,31.2191,1.5708,-0.5699
pedestrian,aaebcceb-e1c9-424d-90cb-29b1efac7f54,dynamic,4.82575,-12.2236,-0.565163,0.716,1.092,1.951,-3.00523,13.1538,1.5708,-1.1948
pedestrian,ac038d18-eba0-40ba-b15c-c818a51dc2f4,dynamic,3.83162,-13.4195,-0.684084,0.818,1.125,1.739,-3.00523,13.9726,1.5708,-1.2927
pedestrian,ad0f1df3-e90d-4fb5-9dd9-6a73dfa6cf7d,dynamic,-16.8429,-28.4742,-0.728016,0.808,1.229,1.926,-3.03509,33.0907,1.5708,-2.105
pedestrian,bee68a94-6ce6-4505-ba7f-ceff67ee9f8c,dynamic,5.63045,-12.5513,-0.651717,0.743,1.152,1.745,-3.00523,13.7718,1.5708,-1.1491
cyclist,c4a3d264-4460-4e74-aad4-93a751aee447,dynamic,-11.8964,-14.2023,-1.06646,0.805,2.011,1.824,2.95409,18.5571,1.5708,-2.2681
pedestrian,c8342bf7-07d3-4216-8387-c8e885078cc7,dynamic,19.7524,-13.5604,-0.545916,0.763,1.148,1.869,-1.41567,23.9654,1.5708,-0.6016
car,d9c2c459-dc82-49a8-978e-4dbcb6b4d62b,dynamic,-26.4178,-26.1411,-1.02347,1.736,4.624,1.639,0.043652,37.1794,1.5708,-2.3615
pedestrian,e12bca7f-20bb-44e3-8c93-3785c67ee8e6,dynamic,-17.7544,-7.3375,-1.05249,0.858,1.106,1.972,0.0892279,19.2397,1.5708,-2.7497
bus,edc579f6-be07-4248-8607-f5be86282812,dynamic,-45.3707,-23.9233,-0.216148,2.989,12.598,3.485,0.77372,51.292,1.5708,-2.6564
car,ef38865b-219e-447f-8e91-7c4b67ed16cc,dynamic,2.0977,-17.1376,-0.831357,2.038,4.932,1.524,0.0899286,17.2855,1.5708,-1.449
pedestrian,fa7fb1e0-bddd-4326-a7a9-cfa1e01da697,dynamic,4.22769,-12.0942,-0.717979,0.821,1.12,1.78,-3.00523,12.8319,1.5708,-1.2345
car,12f001e8-c995-4538-b2be-75455eb85547,dynamic,-2.38717,24.2652,-1.22748,2.056,4.867,1.791,0.113864,24.4132,1.5708,1.6689
car,22321680-6e25-4c33-b098-812e7989c3d0,dynamic,-47.4662,49.9719,-2.22708,1.857,4.577,1.529,1.74895,68.9579,1.5708,2.3305
bus,6f667855-3395-4029-a0d7-2d80867a71c3,dynamic,-14.4868,2.89336,-0.719755,3.052,10.908,3.521,-3.06073,14.7904,1.5708,2.9445
pedestrian,a4cd2cb0-7ee8-44c7-9883-975d6e1a887b,dynamic,0.825268,20.7291,-1.03884,0.831,1.057,1.742,-3.01132,20.7715,1.5708,1.531
pedestrian,a9ded3c7-1976-4f96-ad40-856f75e45880,dynamic,1.54986,20.2509,-0.901138,0.882,1.118,1.985,-3.01132,20.3301,1.5708,1.4944
pedestrian,adcfdb39-9ce5-41c2-a5fa-08656d46bfb8,dynamic,-21.6067,17.9049,-1.5521,0.896,1.004,1.639,0.0548526,28.1042,1.5708,2.4496
pedestrian,e53c2c1d-08bb-4f74-acc1-3ddf558f7eb9,dynamic,-20.3152,14.4385,-1.50431,0.823,1.079,1.91,0.0548526,24.9688,1.5708,2.5237
pedestrian,f07073d2-e5e3-42ab-b4df-2e8fa83ec115,dynamic,2.66332,5.69233,-0.783149,0.78,1.181,2.0,1.41509,6.3332,1.5708,1.1332
pedestrian,f49ee87b-8bb0-4147-94c9-a52e3dbae9b7,dynamic,-3.71289,18.7974,-1.10224,0.878,1.122,2.028,0.13027,19.1923,1.5708,1.7658
pedestrian,0094a75a-2b27-47b5-9d7a-2a4a2638e341,dynamic,4.14237,-11.9939,-0.66722,0.612,0.797,1.877,-3.07596,12.7066,1.5708,-1.2382
pedestrian,053c474a-caa3-4468-addb-176e13c93b4c,dynamic,3.90031,-13.3965,-0.656478,0.636,0.766,1.904,-3.05568,13.9682,1.5708,-1.2875
bus,0c6d457f-515b-4791-afb9-101f29b36ec9,dynamic,-45.3365,-23.8286,-0.383291,3.108,12.795,3.878,0.77337,51.2186,1.5708,-2.6577
pedestrian,0f7f0c58-06af-4995-af20-ad53a8672d9a,dynamic,6.09936,-17.5173,-0.496921,0.809,0.963,1.849,0.0202636,18.5555,1.5708,-1.2357
pedestrian,1ccb68a0-c5b5-4cab-97dc-79da5a4af21e,dynamic,-17.845,-7.22533,-1.11686,0.714,0.942,1.824,0.147368,19.2846,1.5708,-2.7569
car,202f0a3c-9648-4995-b93f-319cfdc3fce2,dynamic,38.3658,-3.59413,-0.523273,2.242,5.547,1.852,-1.60096,38.5373,1.5708,-0.0934
pedestrian,291ec87e-4b02-48df-8111-4365a49c5209,dynamic,4.91152,-12.3991,-0.607889,0.688,0.689,2.0,-3.03823,13.3503,1.5708,-1.1936
pedestrian,2a773637-b932-4606-be9c-1bfbfe0e68cd,dynamic,4.58397,-13.2291,-0.547325,0.585,0.723,1.862,-3.02775,14.0115,1.5708,-1.2372
car,2aee3322-52ac-484d-90e0-1bcbe5af5749,dynamic,2.12963,-17.1692,-0.851519,2.09,4.987,1.592,0.0860869,17.3217,1.5708,-1.4474
car,2db5356f-107e-463a-8418-d03c5ca48b0e,dynamic,33.6489,-8.48488,-0.595412,2.11,4.827,1.528,-1.46138,34.7073,1.5708,-0.247
bus,3d0e0baf-38f6-467f-9914-8647acb21040,dynamic,-1.39131,-27.7842,-0.0138389,3.236,13.969,3.647,0.135494,27.819,1.5708,-1.6208
car,52986ba1-3665-4b19-83ca-75fde0feefcd,dynamic,-26.7019,-26.1689,-1.11704,2.196,4.679,1.7,0.0291998,37.4039,1.5708,-2.3663
pedestrian,592d5e12-eac6-4187-b909-e605c59849dd,dynamic,3.04164,-14.2814,-0.762102,0.672,0.663,1.794,-3.03823,14.6216,1.5708,-1.361
