label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
car,0e233b9f-a310-4d69-a402-8a12f31a1aab,dynamic,23.0153,-3.39907,-0.965302,1.961,4.496,1.59,-1.55121,23.285,1.5708,-0.1466
car,171fea41-cae9-4077-86c5-fdd7e35a214c,dynamic,-20.2047,-3.98077,-1.04095,2.448,5.722,1.798,-1.57042,20.6194,1.5708,-2.9471
car,18592087-2586-4927-8120-e2f2e296a4ad,dynamic,-9.48915,-0.0866879,-1.16436,2.208,4.96,1.614,-1.61128,9.5607,1.5708,-3.1325
car,33eb9f23-bb2d-4c8b-b8e0-1ee8a08bd391,dynamic,15.7239,-33.6645,1.07133,2.511,6.009,2.377,0.0172307,37.1711,1.5708,-1.1338
car,4cc44743-a1e4-462e-9471-a81e776c3298,dynamic,15.6986,-40.4264,1.26346,1.801,4.488,1.424,0.0172307,43.3859,1.5708,-1.2004
car,4cca5099-0aef-4f11-a115-578c53de13d5,dynamic,33.4198,-3.43414,0.219161,2.615,6.231,2.847,-1.59224,33.5965,1.5708,-0.1024
truck,5466809f-afe0-46ec-babe-b4b6e59afc57,dynamic,13.0013,-52.0633,2.8561,3.163,8.435,2.954,-0.00562435,53.7381,1.5708,-1.3261
car,61c56588-5103-443b-979f-c8c0922744ef,dynamic,-9.13674,-4.07711,-1.06838,2.17,4.512,1.414,-1.57042,10.062,1.5708,-2.7219
car,667463e8-db26-4d0e-bc06-d8991788bbea,dynamic,-1.72192,-3.10086,-1.06628,2.04,4.561,1.765,-1.7129,3.7037,1.5708,-2.0777
car,6c83700c-c5bd-4dd8-b6e3-7c9760c3ee49,dynamic,6.30603,-19.0911,-0.349534,2.174,4.144,1.448,-3.12436,20.1087,1.5708,-1.2518
pedestrian,6cd24f22-074c-4cf4-951c-ad65e2f40dde,dynamic,16.0078,-4.93614,-1.03399,0.823,0.857,1.615,-1.0986,16.7835,1.5708,-0.2991
pedestrian,6ec66e92-82bf-4230-91f6-c6907f8831ac,dynamic,0.732294,-3.80198,-1.15745,0.831,1.043,1.683,-0.0775045,4.0412,1.5708,-1.3805
pedestrian,7be9be96-1b7c-483d-81e0-020228bae771,dynamic,4.38481,-19.8374,-0.105411,0.624,0.878,1.566,0.0355506,20.3165,1.5708,-1.3533
truck,7c8d8f44-8ac3-43ef-b6df-dd27d9722290,dynamic,50.032,-3.61776,1.44827,3.092,5.811,2.216,-1.55418,50.1835,1.5708,-0.0722
car,7dc6f6f7-cb36-4e4a-b9be-7d76e1952b59,dynamic,-26.0885,-4.03458,-0.902789,2.29,4.789,1.895,-1.58788,26.4141,1.5708,-2.9882
car,98113165-4048-4bfb-98e8-4f46bdcbfd97,dynamic,-14.7745,-3.88688,-1.17354,2.313,4.625,1.601,-1.51804,15.3222,1.5708,-2.8843
car,c2de7879-c39a-4680-a519-5451f433b8a4,dynamic,27.7031,-3.45546,-0.694547,1.975,4.172,2.0,-1.54213,27.9264,1.5708,-0.1241
car,c4f3c713-2537-4b15-9492-1bf19886c111,dynamic,6.35312,-25.5984,0.18588,2.084,4.325,1.599,-3.10377,26.3756,1.5708,-1.3275
car,cb5af553-7fb0-4c28-a2b5-a92821bcb7e4,dynamic,28.6047,-0.0437878,-0.574023,1.913,4.346,1.641,-1.53497,28.6105,1.5708,-0.0015
car,d17681c9-c00c-44a9-bcc9-3e3bb4d1e120,dynamic,59.3277,-0.272099,1.86615,2.053,4.656,1.461,-1.34817,59.3577,1.5708,-0.0046
car,ead2e09f-f6dd-4756-8f91-f91a0d60171c,dynamic,-21.1185,-0.877201,-1.13719,2.052,4.527,1.469,-1.52676,21.1673,1.5708,-3.1001
car,f6efd321-f2d8-467a-a4a7-8022cba8b86d,dynamic,6.67036,-31.1757,0.812222,2.314,3.79,2.0,-3.10517,31.8917,1.5708,-1.36
pedestrian,0bf5eea2-f8bc-4d8a-9949-427dc6034e3a,dynamic,18.288,9.49525,-1.42029,0.79,0.685,1.671,0.494701,20.655,1.5708,0.4789
truck,0f186926-9043-4fb5-a99d-d57a07f36b8c,dynamic,37.1739,5.98096,0.02164,2.263,5.003,2.159,1.59842,37.652,1.5708,0.1595
car,30aad8c3-df34-4ef5-acd6-6bc88f1336ec,dynamic,5.82631,36.9428,-1.19114,2.664,5.595,2.172,3.12604,37.4184,1.5708,1.4144
pedestrian,323f2343-d760-48e5-a42b-720280b1adf9,dynamic,20.8178,15.7022,-1.17457,0.805,0.567,1.821,-0.225975,26.1021,1.5708,0.6462
car,36e3677a-07c9-4cad-b779-6634f080a38f,dynamic,14.876,20.2554,-1.39677,2.122,4.429,1.824,0.0149757,25.17,1.5708,0.9373
pedestrian,54e45081-be04-4e24-bada-538d6f423688,dynamic,2.97284,13.3857,-1.42088,0.827,0.93,1.798,2.60987,13.7853,1.5708,1.3523
car,55714722-ddca-4ea2-a171-323c45d9ee17,dynamic,-34.845,0.541364,-0.719541,2.588,6.221,2.344,-1.56814,34.8566,1.5708,3.1261
car,5b4375be-c5da-4cee-beac-2722549c9498,dynamic,15.0985,14.738,-1.43842,2.444,5.223,1.471,0.0498689,21.1481,1.5708,0.7733
truck,5ccc8231-c044-4997-8950-888b8e8eeb7e,dynamic,-50.8095,3.38664,-0.331542,3.037,7.949,2.987,1.68135,50.9233,1.5708,3.075
car,7729714d-9c34-4c8c-9301-6b03406f0263,dynamic,26.6764,5.81335,-0.899013,2.359,5.011,2.022,1.61374,27.3173,1.5708,0.2146
car,7cc85581-c9af-45a3-aba8-a0d4b34246e5,dynamic,-26.4927,7.80874,-1.03703,3.082,5.996,2.332,1.55443,27.639,1.5708,2.855
pedestrian,92bca17f-20f0-4106-9bdf-bdcaee52ec20,dynamic,3.31118,35.4414,-1.09856,0.827,0.805,1.89,-0.0717311,35.6127,1.5708,1.4776
truck,ab92202b-83ef-47d3-bdb2-93e28ed36d23,dynamic,-40.3127,3.37769,-0.879723,2.095,4.722,2.08,1.62828,40.4635,1.5708,3.058
pedestrian,b4bc63ef-44ef-4e49-8f41-4a363e7a2a6a,dynamic,2.27645,35.4654,-1.18103,0.677,0.797,1.739,-0.0717311,35.558,1.5708,1.5067
truck,bc025d9c-a5e2-4b01-837e-882cba7472f3,dynamic,-28.7424,3.72723,-0.977303,2.581,6.06,1.971,1.57467,28.9995,1.5708,3.0126
car,caa6d39b-4f76-4a06-8a90-a9b4d707ef54,dynamic,20.8392,3.31827,-1.05858,2.181,5.071,2.06,1.54168,21.1283,1.5708,0.1579
pedestrian,cbc9396c-14df-4a49-8eca-99b0b5b1f208,dynamic,17.609,8.97981,-1.31095,0.674,0.79,1.701,1.60559,19.8099,1.5708,0.4716
car,d796bf13-7f20-4fc2-9e8d-974012cabd57,dynamic,14.9875,26.6155,-1.44687,2.033,4.559,1.754,0.0324222,30.5795,1.5708,1.0579
pedestrian,eb4f2b95-f89a-4229-9029-8808d15c6579,dynamic,14.8814,10.0298,-1.43421,0.757,0.913,1.62,-1.69717,18.0031,1.5708,0.5931
car,f6b0eccb-c079-4448-8cae-25f061e844d2,dynamic,5.87715,23.3323,-1.36781,2.378,4.799,1.913,3.12952,24.1,1.5708,1.324
truck,f6eb74ff-f657-44d2-b6cf-ee9d1dc017d7,dynamic,6.48306,16.8924,-0.937178,3.18,6.017,3.352,-3.11876,18.118,1.5708,1.2043
car,fb42025b-0d4a-4721-a53e-fe624940bb74,dynamic,5.83532,30.2438,-1.48868,2.342,4.994,1.776,-3.11876,30.8376,1.5708,1.3802
