label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
pedestrian,084ca06d-3089-44ef-b001-71c8cae8abfe,dynamic,25.4069,-8.78469,-0.697379,0.727,0.931,1.821,1.73927,26.8918,1.5708,-0.3329
car,10009968-501d-442c-8aae-7092557aa5ee,dynamic,10.4941,-0.487655,-0.76497,1.949,4.527,2.094,-1.56271,10.5332,1.5708,-0.0464
car,1e6be1d3-2762-4167-9e64-67f1315770b8,dynamic,19.2524,-0.227161,-0.990721,1.986,4.372,1.599,-1.57056,19.2792,1.5708,-0.0118
car,3ee5cfb2-ef0e-41b9-90d5-641c44720be9,dynamic,42.4129,-0.754833,-0.0580656,1.938,3.967,1.574,-1.57318,42.4197,1.5708,-0.0178
car,490eced3-af5c-4010-9a6b-cb3587f8d93a,dynamic,-29.6453,-3.72688,-1.54998,1.907,4.168,1.677,-1.536,29.9188,1.5708,-3.0165
pedestrian,4a1b5f7a-5174-44c4-874c-a2b1eba429ca,dynamic,28.0841,-7.52828,-0.699983,0.894,0.87,1.642,1.58778,29.084,1.5708,-0.2619
pedestrian,514d6535-d4c6-4b07-905b-6a58ad67dcca,dynamic,28.4348,-8.28566,-0.630832,0.766,0.799,1.786,1.74975,29.6241,1.5708,-0.2835
car,5be6d2f5-a63b-4d93-a1d2-1cc6f89687a9,dynamic,-23.847,-3.71014,-1.45323,2.105,4.461,1.629,-1.536,24.1776,1.5708,-2.9872
pedestrian,5cc6a395-dde3-4b52-b6a9-1f2cc113a066,dynamic,-5.76897,-8.84349,-1.04413,0.776,0.762,1.746,-1.55362,10.6103,1.5708,-2.1488
pedestrian,665d2012-fb17-4398-90e5-da093f35cb92,dynamic,4.87495,-8.61418,-1.05581,0.676,0.874,1.628,1.37978,9.9541,1.5708,-1.0558
other vehicle,7da40977-7f7f-45fd-934c-3a60f16faaa3,dynamic,-1.64918,-6.64846,-1.4848,0.644,1.815,1.024,1.34641,7.009,1.5708,-1.8139
car,883326ce-6ea4-4e22-ae37-07a683f3dd27,dynamic,-12.6112,-0.168276,-1.24656,2.068,4.411,1.649,-1.56602,12.6738,1.5708,-3.1283
car,885675dd-7cb5-4df5-800c-b9a39c85e9a2,dynamic,-21.3887,-0.73826,-1.42008,1.866,4.371,1.445,-1.57423,21.4485,1.5708,-3.1071
car,97f27b83-31c6-43a1-9cfe-229f84e96a87,dynamic,-43.584,-0.499672,-1.64062,2.05,4.517,1.695,-1.60826,43.6177,1.5708,-3.1301
pedestrian,9fd649ed-4f20-4a89-94c8-162f3541924e,dynamic,-11.219,-9.40063,-0.971638,0.886,0.956,1.864,-1.48601,14.6691,1.5708,-2.4442
pedestrian,aeff3fe1-ab69-4a06-a98e-fb023e88376a,dynamic,-31.6636,-9.96138,-1.27914,0.788,0.958,1.683,-1.48318,33.2182,1.5708,-2.8368
pedestrian,c389a869-74e2-4b69-92bb-5ce8dc1132ec,dynamic,6.55039,-9.80054,-1.00187,0.879,0.781,1.665,-1.61297,11.8306,1.5708,-0.9816
bus,d4da5666-4d2b-4c8a-a5c8-c01604b3337d,dynamic,28.5355,-3.42217,-0.0577071,3.023,12.614,3.384,-1.49883,28.74,1.5708,-0.1194
pedestrian,efbdeeed-13b7-44eb-aafb-3cc5d46cd538,dynamic,21.0025,-7.75503,-0.893075,0.906,0.6,1.559,-1.65032,22.4063,1.5708,-0.3537
