label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
car,0d50f5b1-bd9d-4b32-bef1-f18a2e44c3bc,dynamic,20.0561,-12.815,-1.0004,1.999,4.085,1.585,-0.00723426,23.8217,1.5708,-0.5686
pedestrian,1020b4c9-a304-494f-888c-6bb2aa2ae168,dynamic,-17.6474,-10.0082,-1.02992,0.926,1.066,1.859,1.50341,20.3139,1.5708,-2.6257
car,15e388b4-6277-4c21-8548-b4211f5324b1,dynamic,0.839332,-2.85877,-1.04001,2.168,4.451,1.832,-1.57169,3.1557,1.5708,-1.2852
pedestrian,26050507-932c-4f3d-afb5-b13ab2196ea1,dynamic,8.04451,-3.17489,-1.04331,0.648,0.996,1.629,-0.0698875,8.7111,1.5708,-0.3759
pedestrian,2e5cc400-fea1-4f6a-b3ce-81475c65146d,dynamic,5.71492,-5.32159,-1.00581,0.672,1.067,1.79,-0.145462,7.8735,1.5708,-0.7498
car,3dad98b7-a65c-421d-8a11-cd69ad503453,dynamic,23.0453,-13.8053,-1.01939,2.255,4.479,1.845,0.00201184,26.8833,1.5708,-0.5397
car,465f2679-8ca3-4a5f-976f-98c7a34de277,dynamic,13.2366,-22.3756,-0.226722,2.526,6.018,2.929,-0.0215481,25.9986,1.5708,-1.0366
pedestrian,4ea70638-a34a-4721-bf38-ba6537dfa2eb,dynamic,6.30035,-5.31691,-0.965242,0.755,1.159,1.929,-0.105843,8.3003,1.5708,-0.7009
car,545946cc-c25c-49f3-9100-24e3ba40aa05,dynamic,-46.6247,-4.38453,-1.45024,2.198,4.719,1.71,-1.59769,46.8529,1.5708,-3.0478
car,675f8a93-e71f-4f2e-985f-3b1e5041883e,dynamic,16.8721,-15.8889,-0.812151,2.216,4.68,1.806,-0.0136947,23.1902,1.5708,-0.7554
car,88d0bcd2-cdc7-4b52-8dc2-20808257a72e,dynamic,13.2329,-15.3699,-1.00728,2.152,4.423,1.583,-0.020152,20.3066,1.5708,-0.86
pedestrian,96fe326b-e36f-471f-8d95-06d84a65e924,dynamic,-12.1236,-9.69118,-0.846137,0.777,0.942,1.835,1.55961,15.544,1.5708,-2.4672
car,af8309bb-dfb9-4061-a36b-0e82d1da47fb,dynamic,26.6396,-8.57435,-1.27037,2.167,4.265,1.791,-0.197472,28.0143,1.5708,-0.3114
pedestrian,c83d7995-70fd-4836-8780-1547c2ae2838,dynamic,7.94292,-13.6648,-0.736103,0.883,1.358,1.888,0.102706,15.8227,1.5708,-1.0443
pedestrian,cd6069cd-b201-4cf3-8608-55a04fb107aa,dynamic,-12.3465,-8.96533,-0.919344,0.765,0.883,1.688,1.55123,15.2859,1.5708,-2.5135
pedestrian,f23d00af-1be1-4cb2-b50a-9c3c133fee1c,dynamic,30.3546,-7.33176,-1.26855,0.682,0.943,1.819,0.0428484,31.2533,1.5708,-0.237
pedestrian,07326c0d-19e7-40bc-9cfc-b0525ce8996c,dynamic,-1.53158,12.7613,-1.31358,0.868,0.786,1.631,-0.344732,12.9198,1.5708,1.6902
pedestrian,081d5e97-9442-4d13-9a25-ae1a37a07d24,dynamic,30.3921,9.96672,-1.58263,0.706,1.077,1.739,3.07973,32.0237,1.5708,0.3169
car,0affa858-b624-40c1-9eaf-b1c647bbe13c,dynamic,10.62,26.5629,-1.21896,2.293,4.357,2.061,0.0428517,28.6332,1.5708,1.1905
pedestrian,0de9d4d4-2b93-456a-aa9b-8419eff95d38,dynamic,-1.02007,13.576,-1.23091,0.736,0.708,1.696,-2.91185,13.6698,1.5708,1.6458
pedestrian,10215a83-fd14-43f5-9cd7-73d1fe6bdf5b,dynamic,5.32463,13.2519,-1.2909,0.736,0.757,1.531,-0.0955427,14.3398,1.5708,1.1887
pedestrian,17bbb5f9-fb07-4b47-b746-490d0c31d864,dynamic,30.2627,12.8444,-1.48282,0.684,0.905,1.64,-3.04953,32.9091,1.5708,0.4014
