label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
pedestrian,16e84e27-49d9-4b9c-b3cd-3231e55f3869,dynamic,10.8137,-8.78061,-1.0545,0.776,0.76,1.862,-1.57169,13.9695,1.5708,-0.682
pedestrian,254260f6-eb72-4d02-a724-8dcb79a6e1b3,dynamic,13.7704,-10.7256,-0.986686,0.591,0.686,1.773,-1.57169,17.4824,1.5708,-0.6617
car,2b3ee45d-a3d5-4e95-b1e7-eb906876a616,dynamic,25.5652,-21.3759,-0.553026,1.992,4.763,1.96,0.00735957,33.3289,1.5708,-0.6964
car,49631a05-36ee-419b-ab8a-cfe173beb40d,dynamic,-46.3436,-4.66303,-1.7422,2.075,4.423,1.502,-1.59054,46.6102,1.5708,-3.0413
car,554c720d-53bc-46ca-8d7b-95be08c5be48,dynamic,25.7652,-15.4941,-0.673941,2.262,5.069,2.0,-0.000843513,30.0727,1.5708,-0.5414
pedestrian,719d7f1d-6d23-49d9-9579-e5fe94aa7436,dynamic,22.9929,-9.37778,-0.757134,0.832,0.991,1.72,-1.5682,24.8433,1.5708,-0.3873
truck,92c3a685-b74b-4d01-b606-29fa7343f008,dynamic,25.5699,-28.6208,-0.30503,2.56,6.321,2.116,0.0132938,38.3805,1.5708,-0.8416
car,a6fb919b-cc1d-4a87-bfb1-27abbe8d2d35,dynamic,37.6438,-1.30444,-0.505522,2.112,4.648,1.863,-1.3146,37.6698,1.5708,-0.0346
car,aeea3889-3777-463e-8108-8fe9927f4d39,dynamic,-21.2576,-0.183709,-1.37397,2.074,4.66,1.766,-1.57169,21.3027,1.5708,-3.133
car,d87cff0d-1a41-435e-8fd1-2fddcd12b4a0,dynamic,13.263,-16.383,-0.958145,2.186,4.671,1.657,1.02066,21.1004,1.5708,-0.8903
pedestrian,ed3d215d-0193-4372-a8a0-cdc4c93fcc64,dynamic,11.9975,-10.0295,-0.995905,0.819,0.864,1.734,-1.45842,15.6692,1.5708,-0.6963
car,fed67168-65ad-4c7d-bbb8-6b76167b292a,dynamic,90.262,-6.49814,0.846723,2.522,5.983,2.65,-1.60467,90.4996,1.5708,-0.0719
pedestrian,013fe3b3-3c78-4bcd-b28c-ab0c9fd686ab,dynamic,13.8196,10.1442,-1.26843,0.823,0.981,1.932,1.56991,17.19,1.5708,0.6332
pedestrian,07707b99-b128-4270-9363-be164a4ed342,dynamic,27.9314,8.9075,-0.894788,0.861,0.903,1.82,1.51179,29.331,1.5708,0.3087
truck,0f2d5742-9c02-47bd-9004-2846e41f221f,dynamic,-49.1665,7.13209,-1.70821,2.054,4.827,2.143,1.56519,49.7105,1.5708,2.9975
pedestrian,34aee39d-c870-42cd-bea8-fcee4a10d130,dynamic,-17.7981,8.97744,-1.49994,0.852,0.699,1.788,-1.53085,19.9904,1.5708,2.6744
truck,350fa66d-24d2-4e96-bbad-262467450c87,dynamic,-19.8137,6.36385,-0.813949,2.984,8.015,3.337,1.55839,20.8265,1.5708,2.8308
bus,6edce72c-65f3-45ad-80ed-02992b797130,dynamic,-57.0626,4.04879,-0.920274,2.836,9.388,3.106,1.53832,57.2135,1.5708,3.0708
car,6f24e617-ffda-4963-9486-45b597b036c8,dynamic,14.5778,19.694,-1.30197,2.069,5.058,1.761,0.0785763,24.5369,1.5708,0.9336
pedestrian,da426316-14ad-4a2c-b742-2af1fee8ebce,dynamic,5.64507,9.39057,-1.25637,0.8,0.949,1.942,-1.67989,11.0285,1.5708,1.0295
pedestrian,f541df44-1b76-4ddb-9197-871ac088f567,dynamic,8.54043,7.73953,-1.22153,0.771,0.689,1.85,1.65369,11.5901,1.5708,0.7362
