label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
car,0db73cd8-eecf-4b95-ba7d-6b3707443baf,dynamic,8.4006,-3.04818,-0.990746,2.043,4.5,1.722,-1.56478,8.9913,1.5708,-0.3481
car,29ced5d4-a7ad-48c7-b22e-43bb5720151e,dynamic,-34.6001,-19.8823,-1.19735,2.054,4.427,1.807,-0.0284831,39.9238,1.5708,-2.62
car,2edf7ac1-ed0f-419f-bb9f-43920affc41d,dynamic,-4.3855,-6.64645,-1.33286,2.177,5.118,1.506,-1.5927,8.0737,1.5708,-2.154
truck,2ff3bace-b652-4099-802f-9be44bd447b9,dynamic,25.017,-3.35135,-0.671288,2.62,6.184,2.124,-1.56293,25.2494,1.5708,-0.1332
car,50fb4edf-f84e-43be-bd4d-799c3b5f03b0,dynamic,-34.7184,-28.0753,-0.645891,2.597,5.886,2.55,-0.0284831,44.6543,1.5708,-2.4616
pedestrian,b7ba1117-35eb-4e29-b856-8f477ca899ef,dynamic,-10.1339,-9.95131,-0.904536,0.796,0.765,1.821,1.50875,14.2317,1.5708,-2.3653
car,bf7a3a4e-63e5-47f3-9a68-41c6a2f6d0a1,dynamic,-34.2993,-13.6776,-0.76519,2.435,6.001,2.551,-0.0274329,36.9338,1.5708,-2.7621
car,c9e69f7d-4176-4559-a9a7-ed63e6563707,dynamic,13.388,-7.00588,-0.915404,2.246,4.81,2.114,-1.63423,15.138,1.5708,-0.4821
truck,fccfc9b5-52a9-4224-8834-1e50250f0863,dynamic,-42.6004,-4.86146,-0.800071,2.518,6.029,2.234,-1.61975,42.8844,1.5708,-3.028
truck,18f528cd-5121-4672-9927-e1f83dfe889f,dynamic,90.569,3.52549,0.339472,3.275,8.467,4.616,-1.56361,90.6382,1.5708,0.0389
car,3e605bbc-d49f-4bfc-b5a4-7b6074961787,dynamic,-3.45462,6.79635,-1.28627,2.21,5.057,1.552,-1.58926,7.7317,1.5708,2.0411
truck,43ce8f0e-739c-4b3d-a10d-bfe38e716666,dynamic,-7.22331,3.46747,-0.522354,3.158,9.171,3.282,-1.52207,8.0295,1.5708,2.694
car,67f3a09d-ca4b-4c9a-ba1c-ff7b10f6ee50,dynamic,13.7016,6.18216,-0.895103,2.157,5.728,2.179,-1.6334,15.0584,1.5708,0.4239
truck,a118385c-42e5-4e11-91a5-c903fc359094,dynamic,45.2113,5.34052,-0.257007,2.78,6.835,3.046,-1.58105,45.5264,1.5708,0.1176
car,b9d3f7aa-6c06-49d9-81e5-5754f8530ae0,dynamic,43.765,0.327092,-0.845434,2.113,4.734,1.936,-1.57782,43.7744,1.5708,0.0075
truck,deec0604-46ac-4e13-ad5a-47efb66d921f,dynamic,14.4035,3.04025,-0.37248,2.861,7.366,3.151,-1.59851,14.7256,1.5708,0.208
