label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
car,09bd34ae-fc2d-42a8-86cb-8d08787d9220,static,27.3045,-2.65421,-0.521455,2.002,4.6,1.483,-1.49737,27.4382,1.5708,-0.0969
pedestrian,0f888bd1-9694-4f5d-b26b-7d7faa1f88bc,static,21.0803,-9.7852,-0.676079,0.62,0.845,1.57,-0.0230776,23.2505,1.5708,-0.4346
car,119b75e4-1adf-4054-b5da-fa2e0212c092,static,-23.2592,-4.24999,-1.94885,2.166,4.51,1.826,-1.47312,23.7245,1.5708,-2.9609
pedestrian,1354fe96-c592-487f-b132-9c60fa04810a,static,2.1738,-4.30257,-0.94973,0.804,1.049,1.78,0.0821819,4.9132,1.5708,-1.103
pedestrian,1449c9ef-70e6-4ba4-aafc-91783a84704f,static,4.99239,-5.37158,-0.984195,0.809,0.734,1.662,0.0978922,7.3991,1.5708,-0.822
pedestrian,154668cd-e5fe-42de-86b9-05f2c116d3dc,static,2.28174,-6.13851,-0.871269,0.63,0.75,1.766,0.141882,6.6066,1.5708,-1.2149
pedestrian,2aeecedb-566f-4421-b007-c0711f953967,static,3.52122,-4.61264,-0.989545,0.773,0.819,1.721,0.0978922,5.8868,1.5708,-0.9188
pedestrian,2f45e7f8-0969-46b8-a09e-be2fa1c9bf9c,static,5.32725,-6.23414,-1.03757,0.554,0.532,1.495,0.0978922,8.2656,1.5708,-0.8637
car,32c3296c-69f1-446f-b6d5-243cf7964a10,static,18.2805,-37.297,-0.805217,2.084,4.705,1.92,0.0938774,41.5438,1.5708,-1.1151
pedestrian,38127d4a-8670-4171-a464-fd5ae9f0c4d5,static,3.4963,-6.29631,-0.90095,0.788,0.759,1.797,0.141882,7.2581,1.5708,-1.0639
car,41b82056-9cad-4d06-8499-fb0ec8243db5,static,8.25268,-25.0072,-0.837193,2.309,4.515,1.822,-3.08263,26.3471,1.5708,-1.252
pedestrian,45ed015e-4ffc-403e-8afc-14d4ec629580,static,21.473,-3.43296,-0.668526,1.074,0.93,1.772,-0.0230776,21.756,1.5708,-0.1585
truck,5a3f65c2-7c6f-4c7e-a023-d75519175d38,static,60.458,-1.26656,2.47874,3.783,9.756,3.875,-1.50121,60.522,1.5708,-0.0209
pedestrian,5c474d43-110f-49bf-8bb5-c72903b46717,static,2.58417,-7.69956,-0.906631,0.719,0.868,1.615,0.0821819,8.1721,1.5708,-1.247
pedestrian,6bc34142-6e74-41ab-aac1-6686f8152752,static,26.1963,-0.563396,-0.197269,0.921,1.076,2.154,-1.66298,26.2031,1.5708,-0.0215
truck,6dfebf5d-3499-4f57-9b46-dcd43a9235ad,static,39.5242,-2.11836,0.516466,2.39,6.011,2.132,-1.50121,39.5843,1.5708,-0.0535
car,715297ef-d8de-443a-a22d-71c57f7cb8c7,static,-2.68754,-3.19365,-1.09531,2.06,4.601,1.851,-1.45567,4.3153,1.5708,-2.2704
car,734e18c2-80aa-4b5f-b326-86a0fc4643e1,static,7.94729,-19.768,-1.09303,2.127,4.611,1.606,-3.11754,21.3337,1.5708,-1.1885
pedestrian,78701e60-3c3a-46d7-a77f-709a99b56856,static,2.82291,-6.13199,-0.899747,0.561,0.714,1.615,0.141882,6.8103,1.5708,-1.1394
car,845ef217-4d81-4248-b73a-0e0244d35149,static,7.84248,-13.3094,-0.831281,2.74,4.846,1.865,-3.11754,15.4705,1.5708,-1.0383
pedestrian,8500feab-64ec-408e-bbc3-56c093117d83,static,20.4562,-6.58774,-0.622764,0.639,0.835,1.708,0.0727557,21.4998,1.5708,-0.3116
car,86866319-0d57-4d99-a599-4df24a092282,static,8.64463,-31.0446,-0.558155,2.167,4.576,1.597,-3.1322,32.2306,1.5708,-1.2992
car,8a9a9fd1-bec3-451d-93b8-5c45f0b365a7,static,-10.5807,-3.62647,-1.45201,2.165,4.495,1.695,-1.49058,11.2788,1.5708,-2.8114
bus,91e691b8-0b77-4cc0-97c7-1f99324b12f9,static,18.6961,-60.5736,0.748997,3.353,19.344,3.349,0.13036,63.3977,1.5708,-1.2714
car,938e1ab4-dd69-4791-834b-42887d17f21e,static,-63.0342,-4.48612,-3.0745,2.068,4.659,1.653,-2.39543,63.2684,1.5708,-3.0705
car,98f6a5bd-5da0-44f5-9ec9-3ee09201aea4,static,-29.6576,-4.72705,-2.14717,2.238,4.593,1.827,-1.45567,30.1086,1.5708,-2.9835
