label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
car,2b86cf51-bafc-46dd-8a7b-50fc19855d75,static,23.9717,-4.13999,-0.800043,2.21,5.193,1.466,-1.58339,24.3397,1.5708,-0.171
car,4cb3ed34-f276-4893-9882-3186c8e6805f,static,42.5174,-13.7926,-0.44798,2.222,4.7,1.463,-0.0519994,44.7008,1.5708,-0.3137
car,66bb9071-c46f-488e-aefa-ff16e0ef0c99,static,8.42698,-3.21289,-1.03412,2.125,4.409,1.594,-1.60084,9.0778,1.5708,-0.3642
car,7db1e9c2-c03b-4dfe-b809-c25c6bd74b3f,static,-17.0769,-1.66202,-1.17854,2.207,4.619,1.724,-1.60084,17.198,1.5708,-3.0446
truck,91f3c650-883a-405b-991d-b12fabcdaf93,static,-24.8635,-0.785693,-0.667463,3.209,6.795,2.822,-1.67118,24.8849,1.5708,-3.11
car,c7dd37e8-c3d1-44b9-9009-b174c866b4e2,static,3.53704,-2.78456,-0.988135,2.25,5.204,1.936,-1.6361,4.6088,1.5708,-0.6669
pedestrian,c8f7f694-e5c2-42fc-89b0-ed9343909c87,static,-22.2158,-4.49493,-1.04575,0.74,0.592,1.573,1.51597,22.6901,1.5708,-2.942
truck,d7075562-4837-448f-831f-6eeced4d8a56,static,14.0885,-0.38437,-0.681355,2.855,7.346,2.241,-1.60084,14.1102,1.5708,-0.0273
truck,d923ebe6-5a8d-417b-9565-160c126883e2,static,14.4233,-3.69583,-0.73974,2.224,5.485,1.814,-1.63575,14.9076,1.5708,-0.2508
car,20a94a0e-dfc4-4a89-a987-a5333650ee60,static,-23.621,7.24154,-1.39477,2.28,4.778,1.465,1.54987,24.7454,1.5708,2.8441
car,367dd913-7982-4f8a-b6e8-02f5f833d9e5,static,-17.5796,6.78964,-1.33982,2.188,4.845,1.495,1.53242,18.8928,1.5708,2.773
car,6d4bd1bd-4654-470f-ae6d-74b625997f65,static,-28.9729,7.53975,-1.14268,2.491,5.035,2.022,1.54987,29.9597,1.5708,2.887
pedestrian,9b8612d0-16b6-4ed5-82b6-f422672d8c98,static,-24.3712,10.6527,-1.37314,0.673,0.563,1.587,-1.60848,26.6331,1.5708,2.7295
car,b0c425b9-093d-42c2-9b6e-3067c10a70b2,static,-15.3686,3.15797,-1.20052,2.207,4.697,1.583,1.57745,15.7356,1.5708,2.9389
car,b8e83619-30a1-40ef-bd5b-2d68422ca95d,static,4.71879,5.56579,-1.24726,2.298,5.072,1.517,1.53783,7.4027,1.5708,0.8676
bus,bd396d2b-5d93-468a-b660-41e9ab53744d,static,-38.2274,4.57592,-0.464929,3.308,7.7,2.843,1.54254,38.5031,1.5708,3.0225
car,c444e2d7-2b56-474d-bf5e-4fad225f9684,static,23.4953,4.39653,-0.841089,2.409,5.48,1.931,1.53783,23.9179,1.5708,0.185
truck,ddd9d37b-223b-44aa-aab6-cc0932d623ed,static,6.64544,2.82964,-0.700548,2.623,5.653,2.29,1.53835,7.2567,1.5708,0.4025
