label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
pedestrian,0ae15502-a04e-4c44-96cd-fbbf52e86401,dynamic,24.8742,-9.19827,-0.891551,0.786,0.587,1.725,1.36005,26.5354,1.5708,-0.3542
truck,29f66ad1-7e5c-478e-9a7a-2847b388f0f7,dynamic,31.753,-5.91803,-0.228142,2.893,7.223,2.979,-1.545,32.3006,1.5708,-0.1843
car,37c40dbc-92d1-4a04-9293-5de150f89ca4,dynamic,22.4803,-5.6701,-0.804535,2.282,5.174,1.816,-0.196418,23.1983,1.5708,-0.2471
pedestrian,3eb15c65-64af-478f-b8e1-44bea3e9b9d9,dynamic,9.67208,-0.448689,-0.831718,0.881,1.161,1.78,0.192192,9.7181,1.5708,-0.0464
pedestrian,50c61f58-26ea-4f30-97ec-68bdd0240bb6,dynamic,-14.8903,-9.73216,-1.17037,0.821,0.868,1.865,-1.58097,17.8271,1.5708,-2.5627
truck,51ff2811-67a3-4e10-b038-b69e70d321cd,dynamic,5.54749,-6.28539,-1.03631,2.485,5.968,2.0,-1.54902,8.4472,1.5708,-0.8477
pedestrian,64e86547-c11e-4318-bc24-f58bda041448,dynamic,2.83967,-8.57608,-0.998091,0.761,0.528,2.0,0.95402,9.089,1.5708,-1.251
car,71bfeb55-55d1-4796-bed6-f03901636238,dynamic,58.4313,-5.78661,0.328088,2.533,5.012,2.919,-1.545,58.718,1.5708,-0.0987
car,7f9e125d-5fc2-492b-9b37-c8a29f9376e4,dynamic,-0.876309,-6.60313,-0.93195,2.153,5.108,2.226,-1.55164,6.7259,1.5708,-1.7027
truck,a3b87dfc-edd1-410e-9e42-5325e3a79827,dynamic,42.9632,-5.75994,-0.143639,3.108,7.533,2.969,-1.59737,43.3478,1.5708,-0.1333
truck,b41c8a38-08ca-40b8-90e2-d8c24f956e4f,dynamic,-48.9031,-6.90794,-0.933574,3.173,7.306,3.259,-1.61832,49.3974,1.5708,-3.0013
pedestrian,c0825522-294f-4bee-988b-18f2f49ef13c,dynamic,24.7011,-10.2898,-0.736447,0.764,0.703,2.0,1.5835,26.7688,1.5708,-0.3947
pedestrian,c7e2cf4b-9b77-41a0-87ad-488493e409a0,dynamic,1.84979,-8.71241,-0.950976,0.836,0.732,2.055,-0.501444,8.9572,1.5708,-1.3616
pedestrian,cdcffbf2-c4fa-4557-972f-a6371ee0328c,dynamic,26.5393,-1.49,-0.452206,0.79,1.165,1.89,0.159735,26.5849,1.5708,-0.0561
other vehicle,cfc4aa8f-aff7-4756-a3ef-22a2f59a989a,dynamic,-25.2565,-6.23549,-1.06597,1.785,5.987,2.379,-1.56246,26.0367,1.5708,-2.8995
other vehicle,dbd53396-b10f-4568-b02c-db1cafbfc41d,dynamic,-11.4328,-5.80752,-0.761773,2.966,14.114,2.857,-1.56246,12.8459,1.5708,-2.6716
car,e1f8b88d-0480-4b66-b58f-64163d6c0c74,dynamic,-48.644,-2.00018,-1.38876,2.103,4.707,2.0,-1.61134,48.7049,1.5708,-3.1005
pedestrian,e57dfe9c-a19e-45c5-860e-f217db7b7832,dynamic,14.4475,-10.2466,-0.984279,0.811,0.942,1.752,-1.6803,17.7396,1.5708,-0.6169
truck,fdc6d9bb-869c-4de8-8552-bb57624fcf67,dynamic,21.6311,-13.503,-0.866498,2.249,5.335,1.956,0.0117745,25.5144,1.5708,-0.5581
pedestrian,0fc4b0c1-1890-4604-a102-aa8fb6675a73,dynamic,6.61113,6.10197,-0.788843,0.525,0.521,1.778,2.60813,9.0312,1.5708,0.7454
truck,150d9760-318e-4e8d-81d1-785cee0e77a6,dynamic,21.67,39.9679,0.79891,2.424,5.108,2.591,0.0247661,45.4715,1.5708,1.074
