label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
pedestrian,09bc0c65-c135-4517-9da7-1acc1f1ede38,dynamic,19.9991,-8.38922,-0.564073,0.774,0.564,1.701,1.45319,21.6947,1.5708,-0.3972
car,148c18bc-825a-4983-baa2-3a16eda5134a,dynamic,13.1264,-5.6665,-1.03827,2.201,4.744,1.564,-1.56046,14.3349,1.5708,-0.4075
pedestrian,26637e69-dfdc-4f79-853b-f6729d095300,dynamic,-14.3555,-8.17836,-1.08348,0.758,0.822,1.807,1.58672,16.5572,1.5708,-2.6237
car,3115a7a6-6416-4267-a36e-2893eec5ec34,dynamic,21.1502,-0.421815,-0.542019,2.35,5.411,2.398,-1.58978,21.1613,1.5708,-0.0199
pedestrian,35d00203-4ba9-491d-b893-1a00b69afc1f,dynamic,-7.79106,-9.08754,-0.979753,0.716,0.839,1.807,1.58672,12.0102,1.5708,-2.2795
car,361128b1-e82f-46f6-ab4b-cc839295cdff,dynamic,-37.4353,-4.82456,-1.33546,2.844,5.704,2.017,-1.60514,37.7685,1.5708,-3.0134
car,3bf258fa-2b49-4b32-a563-30111bd2b95e,dynamic,-16.6279,-5.17922,-1.37887,2.061,4.741,1.656,-1.58768,17.4703,1.5708,-2.8396
car,3c1f5967-04dc-4914-b042-a615e9071626,dynamic,0.690112,-5.56514,-1.11822,2.141,4.762,1.819,-1.58559,5.7182,1.5708,-1.4474
truck,3f248768-294f-4294-9593-1c8325e3c3eb,dynamic,15.8541,-3.0698,-0.424816,2.865,7.003,3.008,-1.58978,16.1542,1.5708,-0.1913
car,438b17a1-d888-4685-957e-73b8b46c3498,dynamic,36.908,-3.62454,-0.512051,2.258,4.589,1.94,-1.55417,37.0891,1.5708,-0.0979
car,541c7236-2b03-461d-9437-16b1395db238,dynamic,19.6346,-5.93587,-0.70919,2.321,4.954,1.89,-1.57791,20.5245,1.5708,-0.2936
pedestrian,55cbe0cb-d3a2-4959-b68c-677879d7a413,dynamic,8.55268,-4.43669,-0.926495,0.738,1.113,1.766,-1.602,9.6794,1.5708,-0.4785
car,83a20d5f-2da2-4b3d-9cb4-5b7be110859f,dynamic,-29.6432,-2.21039,-1.0457,2.566,5.237,2.309,-1.59501,29.7439,1.5708,-3.0672
car,88c754d7-254c-464b-864d-32061b80c7b3,dynamic,-13.7047,-2.50737,-1.13752,2.205,5.07,1.808,-1.58768,13.9785,1.5708,-2.9606
pedestrian,b53426a8-30d6-46cc-b73e-b502e34f1dc5,dynamic,-20.9451,-8.27929,-1.23006,0.684,0.867,1.904,1.58672,22.5556,1.5708,-2.7652
car,b77e9368-2b27-42bc-918d-b384a6de44bc,dynamic,7.07822,-5.58725,-1.11345,2.196,4.723,1.584,-1.60304,9.0862,1.5708,-0.6682
cyclist,bd2b91cc-04bf-4a6f-9d07-325a33463a17,dynamic,6.85198,-3.18319,-0.833224,0.922,1.81,1.97,-1.55487,7.6011,1.5708,-0.4349
pedestrian,d6d5cdfb-0471-4c4b-a4e9-a58fc9fd3739,dynamic,-20.9681,-9.04678,-1.1774,0.711,0.686,1.711,1.58672,22.8668,1.5708,-2.7343
pedestrian,e1f41688-12b1-4c0f-80ff-d21250f660dc,dynamic,-7.79247,-8.3581,-1.05187,0.61,0.827,1.683,1.58672,11.4755,1.5708,-2.3212
pedestrian,e9e97ef6-3624-4431-b3f8-a8f98cf41b8a,dynamic,-0.96452,-9.34104,-0.894992,0.672,0.517,1.791,1.0755,9.4333,1.5708,-1.6737
pedestrian,fd90f234-7f31-450f-a791-494e5db4a6c0,dynamic,-3.53321,-10.8886,-0.908069,0.652,0.805,1.807,-1.96434,11.4835,1.5708,-1.8846
car,0ad65a29-0248-4525-9a4c-407e6b0b3968,dynamic,-10.9888,21.6477,-1.4431,2.213,5.273,2.066,3.1409,24.3199,1.5708,2.0405
car,25a3ca8e-e7a3-4793-aa3a-5e7f7647f560,dynamic,3.29451,3.35636,-0.732669,2.799,5.672,2.801,1.54688,4.7598,1.5708,0.7947
car,2f854e08-a097-4784-8e92-8f42a201cb40,dynamic,-14.4863,0.278007,-1.27626,2.194,4.593,1.547,-1.59035,14.5451,1.5708,3.1224
