label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
car,1c3bf5cd-6d0d-42f5-80cb-827093991fc6,static,31.9333,-12.0423,-0.535627,2.216,4.827,1.617,-0.0101179,34.1327,1.5708,-0.3606
car,1ddd9f39-619b-46fc-ac82-6eccc66c2740,static,12.8263,-3.79375,-1.00086,2.154,5.306,1.478,-1.59033,13.413,1.5708,-0.2876
car,2c5b99d9-6371-4a85-a2f9-18d96da6666a,static,-15.2376,-3.30318,-1.34777,2.009,4.681,1.562,-1.56676,15.6497,1.5708,-2.9281
car,309461aa-7dd3-442a-9148-9e31426b74c5,static,-9.92471,-3.31828,-1.17438,2.013,4.489,1.77,-1.5083,10.5304,1.5708,-2.8189
car,524c8901-9dde-4383-b7d0-2ce3f2fd0cad,static,49.3301,-3.53127,-0.742132,2.086,4.427,1.656,-1.5734,49.4619,1.5708,-0.0715
car,55cd57ce-22df-49c3-896b-8cd9bd62412a,static,-3.99296,-3.07904,-1.23198,1.867,4.183,1.472,-1.57811,5.1906,1.5708,-2.4847
car,66edf5b2-f9f9-41a7-a710-63b093fded30,static,1.47958,-3.3233,-1.04599,2.265,4.769,1.742,-1.60481,3.7852,1.5708,-1.1519
car,76ead498-9465-448b-b1e0-5e8d22a18615,static,-26.3756,-3.15119,-1.49107,1.853,4.019,1.473,-1.58422,26.605,1.5708,-3.0227
pedestrian,862de15e-93ce-4d10-b4e6-3c3d1c6fd07d,static,24.1705,-8.2877,-0.587623,0.816,1.17,1.645,1.57553,25.5586,1.5708,-0.3303
car,8a4bcc58-78f5-4340-a2c3-bbb2abef7356,static,6.90202,-3.64093,-1.18121,2.045,4.739,1.596,-1.60481,7.8924,1.5708,-0.4854
truck,c7395ba5-ea25-40b2-a335-d1eb9f6dbeea,static,35.3503,-7.10224,-0.485597,2.407,5.985,1.864,0.0284539,36.06,1.5708,-0.1983
car,c7c25764-52dc-4562-9431-6a9155a737dd,static,19.8153,-3.91546,-0.882497,2.08,4.435,1.619,-1.535,20.2177,1.5708,-0.1951
car,d2663436-deca-46a8-80a8-4892aac7fa33,static,-31.795,-2.97409,-1.55437,2.026,4.001,1.981,-1.58422,31.9716,1.5708,-3.0483
car,d811c6a0-efa6-4957-afd6-d44ddafc7c36,static,-20.8331,-3.23723,-1.43735,2.012,4.15,1.63,-1.60167,21.1321,1.5708,-2.9874
car,0b96708e-6ef8-4231-81e5-4419f1b96a33,static,23.7581,5.97323,-0.99854,2.111,4.915,1.57,1.56399,24.5178,1.5708,0.2463
car,0cd7cf5b-a4fc-4a3f-bfbe-2c0ae03952dc,static,8.42747,6.24943,-1.14198,1.964,3.958,1.787,1.54252,10.5538,1.5708,0.6381
car,1241aa5e-a85e-4b5e-8744-7e0ad7f193a3,static,-40.3041,6.91395,-2.02436,2.046,4.358,1.779,1.58354,40.9429,1.5708,2.9717
car,19c3abc9-4a30-4f32-986e-902cbbfdbd15,static,-47.0481,3.98939,-1.41872,2.147,4.905,2.2,1.56888,47.2382,1.5708,3.057
car,28b9021b-3273-4b41-8501-dace82add9d0,static,-23.0451,6.6165,-1.65795,2.063,4.538,1.61,1.54863,24.0334,1.5708,2.862
car,2ab6b8b3-96fc-451a-b4c7-0ca0fc126984,static,-28.9091,6.68191,-1.4829,2.131,4.412,1.942,1.58354,29.7083,1.5708,2.9144
car,3c159a07-ce4b-44d9-ad89-a411345147dd,static,-2.6654,9.81013,-1.40545,2.306,4.497,1.817,0.0745167,10.2625,1.5708,1.8361
pedestrian,5cca6033-392c-4c48-a3cf-9c0c332490f5,static,-13.7425,9.61505,-1.33379,0.837,0.772,1.916,-1.56493,16.8251,1.5708,2.5311
car,627485bd-4f92-49e7-be23-856f97a9c515,static,-10.9386,6.36721,-1.39618,2.009,4.796,1.82,1.55212,12.7336,1.5708,2.6144
car,783185ad-c683-4a4a-971f-d943d77e8c62,static,-38.3557,0.151114,-1.40952,2.156,4.469,1.786,-1.57865,38.3819,1.5708,3.1377
car,a1756821-5824-4ad2-a0c9-5b4aeed96a0f,static,49.218,5.42171,-0.603586,2.355,5.106,2.018,1.57568,49.5194,1.5708,0.1097
car,afb3e5e6-db21-4818-b3c0-eee7be3e8cd4,static,3.52122,6.23492,-1.37531,1.866,4.52,1.494,1.61234,7.2914,1.5708,1.0567
car,d8497a36-52d4-4b6a-aa3b-24ca1b40b30b,static,13.6722,6.2516,-1.20298,2.047,4.916,1.587,1.56399,15.0817,1.5708,0.4289
car,ec4f8705-4d71-48fd-bec6-5c3ce6e63cfc,static,18.8282,6.02074,-1.19494,2.149,5.018,1.708,1.56399,19.8035,1.5708,0.3095
