label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
pedestrian,0c6bdf2b-e24b-48e2-a104-ffaccb1f7006,dynamic,-1.36326,-14.1989,-0.887847,0.806,1.021,1.917,-1.9048,14.2918,1.5708,-1.6665
car,23e8194f-5436-4ced-9fe2-6a065e01f2ff,dynamic,9.50464,-9.57114,-0.912345,2.051,4.625,1.574,-1.99939,13.5195,1.5708,-0.7889
bus,3fc888a1-c73c-4bc8-8c4b-e1441690505c,dynamic,-21.117,-77.4093,0.362974,3.594,13.168,3.464,2.79364,80.2388,1.5708,-1.8371
pedestrian,549afbd6-7e85-4adf-accf-13d2293354ed,dynamic,10.8329,-20.3975,-0.668292,0.699,0.629,2.0,-2.56,23.1053,1.5708,-1.0826
truck,54f43803-e6d7-42a2-8193-c8c442251691,dynamic,-7.80985,-37.853,-0.270599,2.514,5.535,2.696,2.81284,38.6512,1.5708,-1.7743
truck,62bedc1b-9cdd-4b1b-aaf4-dbedf4ed57c3,dynamic,50.3767,-27.9111,1.07164,3.033,6.904,3.139,-1.99067,57.602,1.5708,-0.5059
bus,69d6b3f1-249b-4112-b64d-363f30e3446b,dynamic,79.0189,-21.3369,1.82604,3.349,13.124,4.028,-1.97322,81.8693,1.5708,-0.2637
pedestrian,7a67c9c0-6874-48a9-bd5a-db111052281d,dynamic,8.41981,-24.6265,-0.857449,0.773,0.564,1.779,-2.63715,26.0402,1.5708,-1.2414
pedestrian,82be4dd9-e6c5-4cda-9820-190463e7f79c,dynamic,11.0532,-21.2485,-0.731222,0.856,0.767,1.915,-2.41688,23.9626,1.5708,-1.0911
bus,aec17354-89d1-4312-ab5f-d94bae8f1ed4,dynamic,-12.0337,-3.40653,-0.67394,3.302,13.186,3.179,-1.90742,12.5247,1.5708,-2.8657
bus,d5099a33-1b54-4950-84f2-88ebf74bf22d,dynamic,4.93209,-29.0347,0.199773,3.239,12.817,4.025,-0.354762,29.4513,1.5708,-1.4025
bus,f19d3698-8b61-4bf6-b26b-44c2745dd171,dynamic,0.114863,-42.2105,0.110783,3.256,12.713,3.267,-0.364535,42.2108,1.5708,-1.5681
pedestrian,f52a4b9e-63c7-472b-a421-70a7a38e9ff2,dynamic,14.2432,-23.7343,-0.649491,0.831,0.725,2.014,-2.77816,27.6877,1.5708,-1.0303
car,f8b870ec-ac51-4511-9ab6-1a4fffb8f57a,dynamic,-8.00171,-18.3999,-1.21911,2.199,4.567,1.597,-0.346559,20.1015,1.5708,-1.981
other vehicle,1bd77ad0-9c6a-4ea5-8f88-62507c6072e3,dynamic,-19.7837,14.9544,-0.385647,2.953,10.834,3.798,-1.88611,24.8028,1.5708,2.4943
other vehicle,3d4b3f45-b759-41c2-a365-a3879c0297fb,dynamic,3.12264,21.8403,-1.26807,1.568,2.67,1.395,2.76625,22.0988,1.5708,1.4288
pedestrian,3ee0cc8e-c50d-4d50-8e4e-333653720474,dynamic,-5.58152,7.1696,-1.21808,0.745,0.798,1.876,0.355413,9.1673,1.5708,2.2323
pedestrian,53360c81-4d22-44a5-a81a-edc4770aa040,dynamic,6.02611,18.0096,-1.16049,0.73,0.625,1.886,0.138124,19.0265,1.5708,1.2479
other vehicle,566da63d-471b-4335-8608-d0223b230c1e,dynamic,-20.8359,12.0723,-0.515036,3.005,11.235,3.821,-1.88611,24.0861,1.5708,2.6165
pedestrian,6008f6f7-de51-4236-ae06-a873e1826cb4,dynamic,-6.73044,7.21941,-1.29331,0.856,0.606,1.78,-1.58503,9.9545,1.5708,2.3212
pedestrian,6300717b-0033-4538-a069-c8f9d0b2dead,dynamic,6.32712,6.74338,-0.921926,0.864,1.157,1.943,-1.99763,9.2928,1.5708,0.8172
pedestrian,78d9ca88-140c-4bf3-bb18-2edf21417848,dynamic,2.31526,10.7795,-1.18896,0.718,0.725,1.794,-0.276032,11.0893,1.5708,1.3592
pedestrian,87cd80d8-1c6f-4246-9d06-24c428dbd7bd,dynamic,-26.6507,11.5577,-1.554,0.706,0.881,1.966,-1.78085,29.0905,1.5708,2.7324
bus,985a8677-34b6-49d3-aec1-e0c8eba5e15e,dynamic,36.8054,64.7327,0.438006,3.496,14.957,4.287,-0.344273,74.4658,1.5708,1.0538
other vehicle,c4e5397d-a91f-4401-8416-91b6127ac088,dynamic,7.80563,27.9544,-0.629548,3.509,11.245,3.107,2.76643,29.0305,1.5708,1.2985
pedestrian,ccf60fef-1633-470d-ab76-06a60770c05d,dynamic,19.6349,2.81759,-0.827267,0.678,0.836,1.762,2.89384,19.8533,1.5708,0.1425
car,d939ac09-dfcc-4865-8595-1cd500411da4,dynamic,8.56854,16.1791,-0.9524,2.402,5.473,1.715,2.78074,18.3328,1.5708,1.0837
pedestrian,d9eed67a-7936-479e-ba23-92de36d90b4c,dynamic,27.7689,24.8606,-0.65966,0.788,0.646,1.798,-0.33066,37.2773,1.5708,0.7302
car,ea764083-20e9-4f12-89d9-126ac4941f43,dynamic,-30.4465,2.82471,-1.69302,2.162,4.729,1.653,-1.92782,30.6241,1.5708,3.0491
