label,trackerID,state,c_x,c_y,c_z,l_x,l_y,l_z,yaw,radius,polar angle,azimuth angle
pedestrian,03814f39-10d7-456d-8bf5-d4bc058e204e,dynamic,21.3396,-10.4102,-0.386857,0.859,0.541,1.849,1.59535,23.7466,1.5708,-0.4539
car,0ae6f3bf-d328-41fc-bff1-a2bfbd88d82b,dynamic,26.3405,-5.18084,0.082161,1.928,4.434,2.0,-1.50383,26.8453,1.5708,-0.1942
car,2bfa5267-3f48-43d6-9d6b-279e831a21eb,dynamic,32.2029,-4.83056,1.55697,1.995,4.038,1.816,-1.35982,32.6004,1.5708,-0.1489
car,37670482-b066-46c5-a2a2-3b361fcffbd8,dynamic,-33.6893,-8.42597,-1.59578,2.104,5.052,2.0,-2.42091,34.7637,1.5708,-2.8965
bus,493b0cae-a93c-4e7a-853c-792b3503a3a9,dynamic,-2.62987,-3.79901,-0.412989,3.19,13.331,4.247,-1.56108,4.6389,1.5708,-2.1763
car,680ad27e-cfde-4581-88ad-e679fa7a7bd8,dynamic,-48.4417,-5.41256,-1.6073,1.967,4.213,1.631,-1.73875,48.7696,1.5708,-3.0303
car,819675c1-2a32-4743-9ae8-8efc4e188085,dynamic,-37.2205,-8.67717,-1.64793,2.237,5.377,1.892,-2.42091,38.2541,1.5708,-2.9126
car,960691a4-4847-4de1-8096-7e35727bb790,dynamic,-18.1012,-1.65136,-1.32445,2.092,4.828,1.493,-1.51919,18.2246,1.5708,-3.0506
car,9af34390-970c-485f-9f98-49a99c98c72e,dynamic,-26.5649,-8.32391,-1.45488,2.209,5.628,2.132,-2.42091,27.8765,1.5708,-2.8379
car,d0660678-4340-4815-a0c2-536531b27025,dynamic,16.0676,-13.5264,-0.618342,1.878,4.366,1.808,0.0643344,21.0122,1.5708,-0.6997
truck,0d6a1346-92d4-459d-9cda-790666005f7c,dynamic,-60.7894,1.40292,-1.58854,2.066,5.41,1.892,1.62486,60.8263,1.5708,3.1185
pedestrian,140c8051-631d-4791-b76f-a579398a82d1,dynamic,-9.53396,11.108,-1.36955,1.116,1.083,1.154,-3.07603,14.7024,1.5708,2.2801
car,3359122d-e363-48e3-8eac-f351ece2dd77,dynamic,8.53218,21.7647,-0.0595729,2.501,4.815,1.893,-3.11372,23.3774,1.5708,1.1972
truck,446ff41f-c348-4625-a70b-97ac10045825,dynamic,-55.5444,5.06288,-1.41822,2.255,6.301,2.594,1.62957,55.7927,1.5708,3.0507
car,64b370da-eabf-4810-877a-733e568206e7,dynamic,8.64438,15.2816,-0.333886,2.292,5.071,2.125,-3.11372,17.5603,1.5708,1.056
pedestrian,659f719d-41cf-41d0-bf2b-7d5aeb4e3fd9,dynamic,4.62383,8.39682,-0.965655,0.892,0.931,1.89,-3.13571,9.6343,1.5708,1.0674
pedestrian,67a3a26a-9b0e-4802-a339-1959d451732a,dynamic,22.5565,1.05353,0.10739,0.679,0.864,1.66,0.0121633,22.5813,1.5708,0.0467
pedestrian,8818c5c2-d598-4d91-a5b0-870691a81e85,dynamic,22.4978,7.21887,0.168724,0.82,0.987,1.945,0.0357229,23.6282,1.5708,0.3105
other vehicle,93894350-f4ed-4b40-b181-717212f19997,dynamic,-16.573,8.54418,-1.57237,0.891,1.974,1.151,-1.49474,18.712,1.5708,2.6656
car,9575ec5a-e194-4801-9c2b-6adbcdcf4979,dynamic,32.2918,6.45017,1.75942,2.254,4.085,2.0,1.65051,32.9767,1.5708,0.1972
pedestrian,98557496-2ae6-4f07-b3f9-982c0b85711e,dynamic,5.13914,10.6033,-0.823469,1.046,0.92,2.0,-3.13571,11.8118,1.5708,1.1195
car,c314c8f9-af2f-4607-bd20-9b9f346178c6,dynamic,-19.9683,6.63958,-1.58465,2.126,4.028,1.646,1.61858,21.1028,1.5708,2.8206
car,c90d857c-9066-4c0e-bf71-46e847af209b,dynamic,18.2622,30.9335,0.996156,2.42,5.166,1.865,0.0516036,35.9358,1.5708,1.0375
bus,cc489b40-a4f0-410b-98a8-dc789d9f638b,dynamic,17.6903,39.4368,1.63593,2.95,10.248,2.0,0.0341523,43.2537,1.5708,1.1491
truck,d2308ce2-4508-4c12-a41d-5d9d4b97ebef,dynamic,-31.0738,6.3034,-1.5182,2.243,6.056,2.0,1.61858,31.743,1.5708,2.9415
truck,f0c37147-9f1b-4338-9c15-157030ee004d,dynamic,-37.1101,6.00282,-1.61515,2.247,5.492,1.869,1.65348,37.6271,1.5708,2.9812
pedestrian,f4b4faad-4982-434e-85e5-43018333443b,dynamic,21.5286,4.85536,0.045476,0.73,0.588,1.877,3.12235,22.0694,1.5708,0.2218
